CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Attrition_Flag
2801,20,F,3,High School,Single,$60K - $80K,Blue,46,5,0,4,11097.161539917735,2857,25630.268131601253,1.7318116596468722,8889,137,0.010436700486413208,0.7379413178193194,Existing Customer
2802,33,F,2,Graduate,Single,Less than $40K,Blue,42,2,6,0,22238.15181494391,1862,20951.844786012363,1.2000309697732763,12306,34,3.417808524971213,0.8749994095338887,Attrited Customer
2803,47,F,1,High School,Single,$40K - $60K,Blue,35,5,6,5,1523.7433985831094,2803,725.1038202261095,1.136824499077771,9798,83,0.041666576290487534,0.3508693567746347,Existing Customer
2804,62,M,4,Graduate,Married,$60K - $80K,Blue,48,3,2,4,19500.057037823262,220,26346.12277070893,1.8419032219324465,701,94,3.6270394601149465,0.8841364459996714,Attrited Customer
2805,40,F,2,Post-Graduate,Divorced,$40K - $60K,Blue,37,5,3,5,2975.203707458576,1143,18531.88716504527,1.2414036131206232,11338,130,0.8363750330665738,0.9164293365232896,Existing Customer
2806,45,F,4,Graduate,Single,Less than $40K,Blue,18,1,2,2,25615.613181351942,171,7423.999994156393,0.5907676385230207,8604,49,2.2435284788846985,0.9169984653756583,Existing Customer
2807,68,F,2,Graduate,Married,$40K - $60K,Blue,54,5,3,6,33712.88747435698,1333,20394.821315514324,3.027777278915091,2683,39,3.7236028058135853,0.004814680256040593,Attrited Customer
2808,57,M,2,Uneducated,Single,$60K - $80K,Blue,41,2,4,5,7296.794605186763,2310,15431.918405180339,1.1721262642814008,10955,60,1.526191479775092,0.47343573540646866,Attrited Customer
2809,71,M,5,Uneducated,Married,Less than $40K,Blue,33,5,5,3,10330.47163105844,2308,21521.631325788112,1.4922977003114122,8536,117,3.219181848197044,0.7102606147946114,Existing Customer
2810,22,F,5,Doctorate,Single,$60K - $80K,Blue,19,4,0,2,19314.980310539417,2787,14184.663866750809,3.6122531930879935,10643,17,2.314146354374826,0.7800545888474643,Attrited Customer
2811,37,F,4,Graduate,Married,$40K - $60K,Blue,49,6,1,3,17655.79989848522,2528,3074.221231328168,2.6488375603769727,17950,17,1.721506961636047,0.21897796150971294,Existing Customer
2812,57,M,0,Post-Graduate,Married,$40K - $60K,Blue,53,6,2,5,28753.12536479155,630,27363.963301443917,3.7151237428479353,3217,54,0.6431103704382468,0.601728386182744,Existing Customer
2813,61,M,1,Uneducated,Married,$80K - $120K,Blue,21,4,6,5,5272.97215021669,2380,20486.770666588356,2.4052778803347756,16246,122,0.681301265032515,0.45984306991331025,Attrited Customer
2814,18,M,0,Graduate,Married,$40K - $60K,Blue,48,4,5,2,19808.087427009283,2719,21417.538693861283,1.42219742601992,17472,72,1.2452191671959318,0.6698393908205883,Existing Customer
2815,47,M,0,Graduate,Divorced,$40K - $60K,Blue,13,3,2,2,32354.984300951313,1508,23027.237557824606,0.8906005105205064,16707,114,3.581581252960241,0.739204325647624,Existing Customer
2816,38,F,5,Graduate,Divorced,$80K - $120K,Blue,43,2,4,3,23679.981048579048,1713,15369.033948353252,3.300741073302728,10568,77,0.7386075186234251,0.4575175888708979,Existing Customer
2817,37,M,1,Uneducated,Married,$40K - $60K,Blue,32,4,3,0,10141.196377990895,961,21415.775317962612,1.7959910863971915,11567,139,3.135913354650034,0.03343427675050792,Existing Customer
2818,23,F,5,Graduate,Married,$80K - $120K,Blue,40,4,1,2,3129.241959085506,888,6349.963149138404,2.603620667496314,16129,114,0.4375613547293713,0.6200816641994226,Attrited Customer
2819,39,F,5,College,Married,$40K - $60K,Blue,31,6,3,2,15247.679669180603,1646,14063.114516818458,2.9677210539510797,9606,31,3.2526679120365305,0.9947949078397966,Attrited Customer
2820,35,M,5,Uneducated,Single,Less than $40K,Silver,13,4,3,5,16877.40721711445,1228,20748.64267149901,0.9853037249903438,4275,48,0.2773541259289307,0.8001387607562758,Existing Customer
2821,25,M,3,College,Married,$60K - $80K,Blue,41,6,2,1,5523.365925121069,2981,24147.956732112267,3.9046752808617256,5294,105,0.8905387441360872,0.22436467692868212,Existing Customer
2822,56,M,0,High School,Divorced,$40K - $60K,Blue,22,6,2,6,17326.92064647974,1719,29041.71279795829,0.942227896805615,10603,66,0.9229524095719452,0.6977169428243393,Existing Customer
2823,49,M,0,Graduate,Single,Less than $40K,Blue,48,2,2,4,24008.668482804755,2494,25822.78432332102,3.0304041432267614,14420,78,3.2954313226274516,0.41535196521582307,Existing Customer
2824,50,F,0,High School,Divorced,Less than $40K,Blue,35,6,5,1,17167.987862730304,2605,1245.948139252826,0.6061966821079641,3192,74,2.3490786780334965,0.30409111233074115,Existing Customer
2825,70,F,3,Graduate,Single,Less than $40K,Blue,30,4,0,5,8706.025991047369,453,5302.866733191057,3.8979948811033873,14825,99,2.551401245963312,0.41519983787507564,Existing Customer
2826,33,F,2,Doctorate,Single,$60K - $80K,Blue,41,3,0,6,33585.735419161094,1346,20383.21918607444,1.0059421790186343,562,96,3.277177867960903,0.6703981136047997,Existing Customer
2827,29,M,4,High School,Single,$80K - $120K,Blue,40,4,2,6,4908.6752589338885,2781,2462.6006809325463,2.0616105237918423,18206,26,3.049612342525976,0.708882984962662,Existing Customer
2828,55,F,4,Graduate,Single,$80K - $120K,Blue,56,1,3,2,21684.906249388452,2362,29859.870193254872,1.4755413974898866,13307,118,0.06756152652639136,0.06693015859208862,Existing Customer
2829,69,M,3,High School,Single,$40K - $60K,Blue,19,3,1,2,25795.0854611912,2804,14135.116619465773,3.6158080168632747,1645,121,1.2652627125478806,0.7406053585061477,Existing Customer
2830,51,F,0,Graduate,Single,$60K - $80K,Blue,43,1,1,2,10176.272226206966,1791,20593.26407522162,2.087964058055984,14560,78,1.139712447436641,0.8751852276859996,Attrited Customer
2831,31,M,4,Post-Graduate,Single,Less than $40K,Blue,50,4,3,0,13904.480497652095,2895,1434.204362358521,2.687870011675121,15341,98,3.1978102904889747,0.6911786265920301,Existing Customer
2832,53,F,3,Uneducated,Divorced,$60K - $80K,Blue,53,4,5,1,15833.240297770355,1787,12913.196290929518,0.8783276468490357,17985,108,0.038887178540890854,0.3886523543588336,Attrited Customer
2833,50,F,5,Post-Graduate,Divorced,$80K - $120K,Blue,14,2,6,4,22997.49619774758,2739,7188.010104447143,3.783687311742057,10919,122,0.07012010538331293,0.8507065545385172,Attrited Customer
2834,40,M,1,Graduate,Single,Less than $40K,Blue,27,6,4,0,18418.547863809315,502,3145.222907724895,1.4202924761997662,7908,19,0.7987901081207265,0.4662307330253521,Attrited Customer
2835,67,F,4,College,Married,$120K +,Blue,34,1,3,3,7501.794134342268,831,20177.958171910315,0.3997256065734587,11640,88,0.929030897759402,0.625149012701514,Existing Customer
2836,62,F,1,Post-Graduate,Married,$80K - $120K,Blue,23,1,1,6,31346.127319416504,647,29304.27923740871,0.8726128240460551,9834,116,0.6636070978121644,0.18344513826811815,Existing Customer
2837,19,M,0,Graduate,Divorced,$60K - $80K,Blue,31,5,4,5,13389.516884043567,1456,9153.152800600437,0.7765385814013142,11070,29,0.3430903631296216,0.015844845347160907,Attrited Customer
2838,58,M,4,Graduate,Married,$60K - $80K,Blue,18,5,5,2,14008.414367101197,1462,27857.14513546932,0.43272950316981573,4383,121,2.6427563646567744,0.6320305263773031,Existing Customer
2839,38,M,3,College,Married,$60K - $80K,Blue,21,5,5,0,28195.347381037194,2905,93.3892018625082,1.9645445997402367,11984,127,0.6316385946851186,0.18361368813627799,Attrited Customer
2840,19,M,2,Uneducated,Married,$120K +,Blue,56,5,4,5,19205.637704049073,2184,19886.61679622088,1.2460365241985145,9179,133,2.5446092330265673,0.051257881627695845,Existing Customer
2841,44,M,4,Post-Graduate,Single,$60K - $80K,Blue,41,1,1,5,8867.035541728284,267,15920.50823008337,1.9777454769313731,2332,28,1.8342626088201768,0.18804634923443053,Existing Customer
2842,26,F,4,Graduate,Single,$40K - $60K,Blue,55,2,4,3,32094.210698509727,91,11072.816110114594,0.31693867586468016,8157,108,3.438782949784977,0.7388621880139037,Attrited Customer
2843,18,M,4,Graduate,Married,$60K - $80K,Blue,15,5,5,2,28376.155139367733,1732,12525.883862248667,2.355906444002669,1518,45,1.0765330881145152,0.2630412742034629,Attrited Customer
2844,28,F,4,Post-Graduate,Married,$40K - $60K,Blue,25,1,0,0,21398.086866880643,1904,18022.057545561638,2.5267560607072452,841,110,3.9429461551072773,0.621587355803145,Existing Customer
2845,20,F,3,Uneducated,Single,$120K +,Blue,27,2,2,2,18411.210521681005,2284,16741.156371183035,1.0190254745312233,4307,67,2.220406748043484,0.6924474930258192,Existing Customer
2846,69,M,3,Graduate,Divorced,$80K - $120K,Blue,17,2,5,1,23962.57612696041,2421,15245.349188855278,2.2763104951263564,16550,39,3.8633771896352274,0.22008039377454658,Attrited Customer
2847,40,F,2,Uneducated,Married,$60K - $80K,Blue,17,5,5,2,13269.065854029224,274,29489.740116060948,1.2177336877669562,3024,91,2.5989172574639268,0.6114303863555083,Existing Customer
2848,43,F,3,Graduate,Married,$60K - $80K,Blue,14,1,4,5,24599.386715901757,2646,23058.478268657545,0.6266446928183629,4514,38,0.9535846753322135,0.26995960189576595,Attrited Customer
2849,21,M,3,Post-Graduate,Single,$80K - $120K,Blue,50,3,4,6,2302.012904128678,519,5354.552985376349,2.7220557140195907,16672,98,1.201942992326571,0.6867798367611078,Attrited Customer
2850,35,F,0,College,Single,Less than $40K,Blue,42,1,0,4,14592.3864339346,1637,27521.673151588006,3.3410438901972195,8923,45,0.6334622460756543,0.23506783643804063,Existing Customer
2851,72,M,0,Doctorate,Single,$60K - $80K,Blue,40,2,0,4,21992.775617362742,1041,14772.639502474347,0.6143226111425704,16201,63,1.7068299191578324,0.46171029232526506,Existing Customer
2852,23,M,1,Graduate,Single,$40K - $60K,Blue,51,4,3,2,22127.31614751016,2585,421.3879595129055,3.552248744398783,866,77,1.3157271499573238,0.2794783707540416,Existing Customer
2853,52,M,2,Graduate,Divorced,$60K - $80K,Blue,44,5,6,0,3426.716633468201,409,23579.32200928092,2.3940241971048852,12328,59,1.0011667987315231,0.9942679437862907,Existing Customer
2854,39,F,0,Post-Graduate,Married,$40K - $60K,Blue,32,2,1,6,25467.25677048365,1998,10584.548930024568,3.092639224897564,14262,34,0.8023473153329848,0.6606313525907527,Existing Customer
2855,60,F,2,Uneducated,Married,$60K - $80K,Blue,32,3,3,5,3881.558585490149,1037,29966.551829731172,2.7727552645670057,17377,18,3.3449499758804357,0.11211387770393322,Existing Customer
2856,32,F,2,Graduate,Single,$40K - $60K,Blue,41,3,5,3,26188.29494348641,1916,16315.460209321003,3.5337422347308856,12725,128,3.3561922212779898,0.9492701837067744,Existing Customer
2857,39,F,4,College,Single,Less than $40K,Blue,47,3,1,3,32007.86330080869,1368,8110.696491893445,0.2389199534104054,6963,139,2.1682746367793846,0.6856627571447386,Existing Customer
2858,54,M,5,Graduate,Single,Less than $40K,Blue,44,3,6,4,34161.14613479014,1793,22558.964777246994,3.9475267707869777,11683,49,2.425830072510476,0.5519885587175303,Attrited Customer
2859,69,F,5,Graduate,Divorced,Less than $40K,Blue,29,6,0,4,21520.151516121372,1711,8343.944751171852,3.5202753918345664,6844,120,1.6799586048328141,0.32780260380837256,Existing Customer
2860,59,M,5,High School,Single,Less than $40K,Blue,20,1,2,0,25278.3235742274,197,741.5130018942262,0.1732810072780433,10676,58,2.504282166261454,0.42553851658946795,Existing Customer
2861,29,F,2,High School,Single,$40K - $60K,Blue,33,2,1,1,8950.027092128392,1736,2892.731392250445,1.0098532695373392,18840,66,3.1512586887470464,0.6543634391841945,Existing Customer
2862,64,F,4,High School,Married,$60K - $80K,Silver,35,3,1,4,13733.23144949881,2231,19716.17971997679,2.1411992118438405,8452,83,1.9594083182019988,0.21210815952974615,Existing Customer
2863,66,F,1,College,Married,Less than $40K,Blue,39,2,0,4,1415.281775348234,1385,6422.638563490344,3.425150715497298,766,116,3.16549020277144,0.44381689980665473,Existing Customer
2864,59,F,1,Graduate,Single,$60K - $80K,Blue,18,2,4,6,28130.514081118763,788,7133.5709938740465,1.2492805968309528,6441,39,3.5701092548352453,0.6635656394365911,Attrited Customer
2865,55,F,5,Graduate,Married,$60K - $80K,Silver,20,4,3,2,24445.45539404209,1738,4468.08265304374,0.19920612597388,3201,137,3.9614069906552722,0.5363702172148342,Existing Customer
2866,35,M,1,Post-Graduate,Married,Less than $40K,Blue,47,1,2,1,9770.804015912492,1030,7691.742589497949,3.1194882377911903,18721,36,3.857387048867519,0.8952495727515289,Existing Customer
2867,62,F,4,Uneducated,Divorced,$40K - $60K,Blue,17,4,5,1,17663.531434874873,1247,22797.47280751753,1.7359264102521075,10334,70,0.9945456300721203,0.2855653976422634,Attrited Customer
2868,52,F,5,Uneducated,Divorced,$60K - $80K,Blue,45,5,6,6,25765.8088051431,2535,15412.438771463107,3.044072790641384,10551,72,2.4440472602735355,0.9172776467101592,Existing Customer
2869,47,F,4,Graduate,Married,Less than $40K,Blue,13,5,1,4,23662.31230469095,423,6480.447168912784,1.3021588805468687,3971,137,1.4275045469041552,0.6892238936482535,Existing Customer
2870,41,F,1,Post-Graduate,Single,Less than $40K,Blue,36,6,4,2,11901.096816438041,1946,7426.795602466962,3.2750199585243567,6458,92,2.799428366111451,0.34197290781406486,Attrited Customer
2871,59,M,5,High School,Married,$120K +,Platinum,44,5,0,6,13571.340039326422,1996,11346.887593658517,1.4440433134132342,10641,67,0.7992437685437732,0.14656582768636384,Existing Customer
2872,47,F,4,High School,Married,$60K - $80K,Silver,45,4,1,5,6243.843506876051,769,29890.2291679879,1.9056792695009124,17274,13,1.1076471685978198,0.29493620309565793,Existing Customer
2873,31,M,3,High School,Single,$40K - $60K,Blue,50,2,4,5,5679.380211910641,140,5217.805859535178,3.749231027293596,14949,67,3.877738894658199,0.22682209184648683,Attrited Customer
2874,23,F,3,Graduate,Single,$60K - $80K,Blue,14,6,5,0,14765.51318884919,2435,24086.573703411657,0.5922584283530461,9222,20,2.4281411156474912,0.9106987413854524,Attrited Customer
2875,20,M,4,Graduate,Married,$80K - $120K,Blue,56,5,3,3,17308.41495867,2423,25970.34186509064,2.3287695315982138,2098,89,0.8006553659341797,0.5085691193004208,Existing Customer
2876,33,M,4,Post-Graduate,Married,$80K - $120K,Blue,29,6,0,6,33323.72485282313,2627,28658.843987685377,3.25536714782308,17398,27,1.573620581570649,0.6740351475176705,Attrited Customer
2877,24,M,0,Graduate,Married,$40K - $60K,Blue,22,5,4,4,18184.5421279682,1305,18143.8876731504,2.7652943868593884,9661,26,1.4313952688230036,0.06745085370753423,Attrited Customer
2878,69,M,0,Post-Graduate,Divorced,$40K - $60K,Blue,49,4,6,3,7451.801566873528,2134,3003.1718115161366,1.7061723406452796,5538,133,0.9284779727966757,0.9480705586491291,Existing Customer
2879,31,M,2,High School,Single,$60K - $80K,Blue,49,2,4,3,6753.998206221044,1811,695.0895681174096,3.2100430061297858,2288,71,0.2371312986320815,0.8855548789880469,Existing Customer
2880,26,F,5,High School,Married,Less than $40K,Blue,14,5,1,5,12738.78059345465,184,13287.169499000187,1.9169152494352408,5632,114,3.917295517537412,0.5026344030782132,Existing Customer
2881,32,M,2,Graduate,Married,$80K - $120K,Blue,24,1,5,3,32239.376130684683,922,10521.913547613534,2.575489295922314,10428,43,1.4846855070088982,0.9486722439157731,Attrited Customer
2882,38,F,2,College,Single,$40K - $60K,Blue,49,5,5,5,27991.03936176096,703,25867.602654516733,1.343131138966652,18325,137,2.1831749305249653,0.5272246007103544,Attrited Customer
2883,52,M,1,Doctorate,Single,$40K - $60K,Blue,42,4,6,5,17790.227669743672,1231,17911.274022168185,0.22986346926438017,13527,124,1.6167277245734466,0.8577231948110557,Attrited Customer
2884,19,M,3,College,Single,$80K - $120K,Blue,27,4,3,4,33496.63589404973,1539,25296.24079845369,0.8182659961273031,10501,75,2.8373783203773653,0.6281985831558775,Existing Customer
2885,44,F,1,Post-Graduate,Married,Less than $40K,Blue,35,1,5,0,8326.454800265721,200,17114.324654555847,1.8699652009360728,4582,25,2.9863643808393197,0.303371762834288,Attrited Customer
2886,19,M,5,Post-Graduate,Divorced,Less than $40K,Blue,30,2,6,6,15774.409769179096,1862,6821.9269171707565,3.5755881986702565,17791,21,3.5997473993317786,0.7411729079917114,Attrited Customer
2887,52,M,4,Uneducated,Married,$60K - $80K,Blue,43,1,6,1,1034.9734505030622,686,5987.380463271824,0.5271218023165618,3981,82,1.2800748946095344,0.30662194724426184,Attrited Customer
2888,35,M,0,Uneducated,Married,$40K - $60K,Blue,50,6,0,2,30467.026714414904,2323,11858.996899260525,1.26628211385919,3780,92,3.921065235096461,0.31776108481219123,Existing Customer
2889,31,M,5,High School,Married,$60K - $80K,Blue,41,5,0,1,6366.343194213696,2600,879.109203326115,1.3205736835839939,12543,61,3.187403350070038,0.7727587088669985,Existing Customer
2890,37,F,4,Graduate,Single,Less than $40K,Blue,26,4,3,2,33561.79797740252,2664,14919.141331524728,3.1132913628575873,2247,83,0.7619139597169493,0.5719333851387787,Existing Customer
2891,35,M,5,Graduate,Divorced,$40K - $60K,Blue,55,2,2,1,18244.33045472179,956,8178.0104906649785,2.17490980722723,14898,102,2.0098249904260013,0.5701342078865511,Existing Customer
2892,27,M,4,Graduate,Single,Less than $40K,Blue,52,5,1,6,34794.337669903434,1119,1370.071525212595,1.6638036199725423,17807,101,1.3632117876476992,0.433402509186233,Existing Customer
2893,42,F,0,Graduate,Single,$60K - $80K,Blue,35,1,6,4,19404.647308317464,2112,14237.476857686166,0.250689312308086,1145,61,2.0498691967509615,0.270098757921462,Attrited Customer
2894,19,F,4,High School,Married,Less than $40K,Blue,37,6,4,4,16485.05856231778,1352,19230.170996367528,3.881887112321869,9354,33,1.2415845449858374,0.6723690377912273,Attrited Customer
2895,42,M,2,Graduate,Married,$40K - $60K,Blue,53,5,6,3,17053.209339772333,295,3021.7118500266515,3.228640195477245,14965,104,0.9714955472098703,0.9865544549442649,Existing Customer
2896,71,M,5,High School,Single,$80K - $120K,Blue,50,1,1,2,29416.222371823864,722,18256.942907358392,0.22520334057707236,17876,118,2.967922865993651,0.16513610342352647,Existing Customer
2897,50,F,0,College,Single,$80K - $120K,Blue,40,3,6,5,13320.146750051526,2215,28288.233860988472,0.18566735120291966,1677,50,2.0648621441627277,0.13547446386906892,Existing Customer
2898,53,M,4,High School,Single,$60K - $80K,Blue,47,3,3,0,30013.161704975468,821,11296.006927219372,1.0105896473241591,14944,102,2.199144015440304,0.3570124933510114,Existing Customer
2899,48,F,2,Graduate,Married,$40K - $60K,Blue,42,4,4,6,31136.181534248684,1505,29451.791202785385,0.20339422377404448,10712,119,1.698281514749647,0.6538421565952711,Attrited Customer
2900,31,M,2,Doctorate,Married,$60K - $80K,Blue,39,2,2,4,10820.752413028265,2496,23458.39927328419,2.9641940447467907,16337,87,3.6470159010376393,0.7547114808089669,Attrited Customer
2901,18,F,3,Graduate,Married,$60K - $80K,Platinum,20,4,5,6,32512.34355250144,1443,288.4969582102148,0.820341356402122,3431,31,0.18868154881732613,0.4721664020571249,Attrited Customer
2902,63,F,2,High School,Divorced,$80K - $120K,Blue,31,5,3,2,7481.110915297556,1750,28355.245920967107,3.525149526315746,7619,88,3.1353907270396917,0.014676040091952891,Existing Customer
2903,33,F,1,Graduate,Single,$80K - $120K,Blue,13,6,1,4,29102.809187623472,1855,15300.028703874408,2.4416151327928635,2821,15,3.2262408395751843,0.36927722000420204,Existing Customer
2904,71,M,0,High School,Married,$80K - $120K,Blue,56,3,4,0,6736.669162885476,348,18016.908995155325,1.942466461629389,11534,49,1.5670569084969417,0.8986721817270723,Attrited Customer
2905,63,M,0,Graduate,Married,$80K - $120K,Blue,32,4,0,2,25402.405221631027,214,18276.66142620942,0.44847650158571994,16192,132,0.274181507699764,0.44207603494323666,Existing Customer
2906,69,M,0,High School,Married,Less than $40K,Blue,42,1,4,6,34170.99461949229,686,11734.608179660969,0.5221088260986826,14733,73,3.131895611650797,0.08265774607875886,Attrited Customer
2907,20,M,4,Graduate,Married,$60K - $80K,Blue,41,2,4,6,3588.2547967384967,1366,13323.718793091122,0.4847524159315091,11184,121,1.8028629358958166,0.1433903615524229,Attrited Customer
2908,52,F,5,Post-Graduate,Single,$80K - $120K,Blue,20,3,3,6,7675.773507046584,1193,15562.342210429408,0.8471132480305075,2631,23,2.477287578217339,0.6046156401797522,Existing Customer
2909,58,F,4,Uneducated,Divorced,$80K - $120K,Blue,26,2,2,3,13004.00622352711,1946,28968.295191556586,0.4166622939806399,2097,117,3.2170451009658807,0.4147643654339961,Existing Customer
2910,23,F,1,Uneducated,Single,$80K - $120K,Blue,50,2,4,2,13244.277346105826,346,6553.566835322335,1.2838070546706706,15661,132,0.6664265568516088,0.01921772594286908,Attrited Customer
2911,42,M,5,Graduate,Married,$40K - $60K,Blue,15,3,5,0,7193.056857583286,2662,27438.27722421239,3.248559572905645,14747,63,1.4629981044449742,0.834950457786776,Attrited Customer
2912,30,M,2,Graduate,Single,$60K - $80K,Blue,15,1,4,5,17893.787952603725,730,29275.620380307868,0.586041550369095,9251,103,2.769769590938413,0.504988603519606,Attrited Customer
2913,70,M,4,Post-Graduate,Single,Less than $40K,Blue,26,6,6,3,27884.651452963335,2902,12745.555637056064,1.1973626573848808,6300,10,1.3702509887868608,0.7849178885591335,Attrited Customer
2914,51,F,5,High School,Married,$60K - $80K,Blue,33,1,6,6,28289.869718899772,596,7415.503683047816,1.7989064925587117,13984,32,1.477929182265937,0.8291889313129794,Attrited Customer
2915,25,M,2,Doctorate,Divorced,$40K - $60K,Blue,47,1,2,5,16851.0477236222,326,13855.494046085678,2.4553573696804643,4651,33,2.9708123997602742,0.16820768223026183,Existing Customer
2916,38,M,5,Graduate,Single,$120K +,Blue,56,2,2,5,11659.46745484859,1364,3047.3580193753937,0.9493390878140837,5308,10,2.9819592495359304,0.8845076772995035,Attrited Customer
2917,51,F,2,Post-Graduate,Married,$80K - $120K,Gold,56,1,5,5,9216.821950636073,1452,24642.638059144905,2.455860657129874,1967,13,2.402594203569153,0.35979642029581216,Attrited Customer
2918,21,F,5,Graduate,Single,$60K - $80K,Blue,55,5,4,6,25327.63289477244,1398,9441.858112066308,0.7353650672677423,10504,118,1.6466085180877026,0.1836924457726593,Attrited Customer
2919,42,M,4,Graduate,Single,Less than $40K,Blue,53,6,0,4,3898.2809677972577,31,9127.284660469466,2.509614555337997,7078,90,1.552982081815625,0.37732688818604876,Attrited Customer
2920,32,F,4,Post-Graduate,Single,$40K - $60K,Blue,39,5,0,5,19540.243633180802,2603,20202.031015400386,3.154200756670975,16535,129,1.1715404428949379,0.974740489056763,Existing Customer
2921,21,M,1,Post-Graduate,Married,$60K - $80K,Blue,40,1,0,3,19409.626280128778,2111,16839.086467240028,0.0925635506428879,7605,108,0.30207888314220854,0.914280764596733,Attrited Customer
2922,62,F,3,Graduate,Married,Less than $40K,Blue,40,1,3,6,4834.297687570172,709,17573.270449974767,3.7443796064156105,4805,124,0.18277529269245063,0.9505791848435725,Existing Customer
2923,29,F,0,College,Married,Less than $40K,Blue,17,3,3,4,17021.50778029019,593,14535.238978627767,2.8509951044177786,16613,86,3.6880554499911393,0.003256497944529091,Existing Customer
2924,49,F,4,High School,Single,$80K - $120K,Blue,55,3,0,0,9491.650884697545,2437,13519.889799236293,3.7995871200844085,5364,108,0.5108564706817482,0.2313996615926629,Existing Customer
2925,49,M,4,High School,Married,Less than $40K,Blue,51,4,0,5,6662.208959217935,2823,9471.625924119224,1.0586800668761338,4810,42,2.450472394220003,0.726882812560696,Existing Customer
2926,45,M,2,Uneducated,Single,Less than $40K,Blue,22,2,0,1,3789.425884177241,1009,8483.325813897387,3.75332459532452,5785,92,1.0907272348755845,0.7962809142670344,Existing Customer
2927,30,M,3,Post-Graduate,Single,$60K - $80K,Blue,21,2,2,1,7573.251520364546,885,29816.553522177128,1.814266414587201,13925,117,2.5444059874025955,0.5199731002025285,Existing Customer
2928,48,F,4,College,Married,$80K - $120K,Blue,32,3,6,0,22926.75881305201,577,12087.772941561683,0.6063563728222974,5786,66,2.7861222453621624,0.33059616919688006,Existing Customer
2929,31,F,5,Graduate,Single,$80K - $120K,Blue,41,5,1,4,25797.502940752995,2343,15209.16492128292,2.949126159900791,11023,66,3.1391180649475627,0.34207707626400496,Existing Customer
2930,37,F,3,High School,Married,$120K +,Blue,41,4,3,3,8770.574472475993,2925,11914.028297798008,2.7787706880344434,14228,34,0.3645794290122053,0.5368568099047037,Attrited Customer
2931,35,F,0,Uneducated,Married,$60K - $80K,Blue,40,3,6,4,20507.77632097778,2683,21788.42567447797,3.6873292500169086,7396,61,0.41312557606210465,0.0031055799721844135,Attrited Customer
2932,46,M,5,Graduate,Married,$40K - $60K,Blue,23,6,3,1,13634.277730879738,1193,5214.831525743833,1.2159241954048317,9595,75,3.2280040622900903,0.6910295858831088,Existing Customer
2933,23,M,2,Graduate,Divorced,$80K - $120K,Blue,33,6,3,5,19413.71342548034,2935,1561.4066591028898,2.516938537100492,7393,79,3.7338344367800573,0.5721542186492152,Existing Customer
2934,49,M,1,Graduate,Single,$40K - $60K,Silver,47,4,1,3,9370.701554669564,1893,29221.17788959744,3.8402909673361916,12822,44,1.0325737041326764,0.5091200630955361,Existing Customer
2935,46,F,5,High School,Married,$40K - $60K,Blue,35,2,4,6,2561.92181209342,1479,16068.481278687183,3.489465064718029,7213,81,1.2311184030051918,0.19851381581361227,Attrited Customer
2936,60,F,0,Graduate,Divorced,$40K - $60K,Blue,41,6,3,2,12112.840265036708,2649,16518.973375365986,3.289388775222001,15984,17,3.672537830918876,0.17543291683872664,Existing Customer
2937,19,M,5,Graduate,Single,$80K - $120K,Blue,27,2,4,1,6463.154566217328,189,14006.413040305491,3.5146681138460156,14640,55,3.167651433676393,0.10395985298534827,Attrited Customer
2938,40,F,3,Post-Graduate,Married,$80K - $120K,Silver,29,6,2,0,25965.12544106159,457,1496.7262125129732,3.377124745282196,15505,115,0.9514901626697281,0.9132510197478341,Existing Customer
2939,36,M,3,Uneducated,Married,$40K - $60K,Blue,36,2,6,3,25833.10519436134,456,20300.393298391446,1.516583313576879,13876,128,2.330223631875469,0.8689353178465744,Attrited Customer
2940,48,F,0,High School,Married,$40K - $60K,Blue,47,5,0,4,3472.61489978685,2011,16975.7434000701,0.06219002035919763,16798,109,1.2572097643541236,0.5799502081680586,Existing Customer
2941,68,F,3,Graduate,Single,$80K - $120K,Blue,32,3,0,5,14488.893661006088,1024,4278.077932620015,3.95047847522493,6762,98,1.7697918079227013,0.2722810007216344,Existing Customer
2942,22,M,5,Graduate,Single,Less than $40K,Blue,48,6,2,2,4157.324295709724,2144,15705.985921919817,3.0994474628686453,13034,73,2.8174799791427527,0.7578332837354912,Existing Customer
2943,36,M,1,High School,Married,$60K - $80K,Blue,23,6,0,1,25304.562515696885,2090,7008.088290704898,0.9033586098976372,6909,39,0.9964133204782675,0.1477096128753429,Existing Customer
2944,51,F,5,Post-Graduate,Married,$40K - $60K,Blue,42,6,2,3,1623.8039439081042,880,19202.223095585112,2.991963955417687,7346,132,0.2975307719273448,0.8114975470388214,Existing Customer
2945,27,M,1,College,Married,$40K - $60K,Blue,51,4,0,1,15892.760119957129,494,20036.869452705323,1.4582976865650088,14129,95,3.9725353328955895,0.816295198685193,Attrited Customer
